name,rating,lat,lng,vicinity,price_level,types,user_ratings_total
The Red Lantern,3.9,38.02318449999999,-78.4703777,"221 Carlton Road #16, Charlottesville",1,"restaurant, point_of_interest, food, establishment",368
Mas,4.4,38.0242534,-78.4742108,"904 Monticello Road, Charlottesville",3,"restaurant, point_of_interest, food, establishment",603
Pad Thai,4.4,38.0246433,-78.4684802,"156 Carlton Road #202, Charlottesville",2,"restaurant, point_of_interest, food, establishment",127
Tavola,4.6,38.0245413,-78.47537489999999,"826 Hinton Avenue, Charlottesville",3,"liquor_store, bar, restaurant, point_of_interest, store, food, establishment",607
Moose's By The Creek,4.7,38.0138711,-78.4736381,"1710 Monticello Road, Charlottesville",1,"restaurant, point_of_interest, food, establishment",1081
Cactus Mexican Restaurant,4.2,38.0229822,-78.47019399999999,"221 Carlton Road, Charlottesville",2,"restaurant, point_of_interest, food, establishment",298
FIREFLY Restaurant + Game Room,4.4,38.0259711,-78.4672162,"1304 East Market Street, Charlottesville",2,"bar, restaurant, point_of_interest, food, establishment",842
Southern Crescent Galley and Bar,4.3,38.0246928,-78.4759035,"814 Hinton Avenue, Charlottesville",2,"restaurant, point_of_interest, food, establishment",150
Monticello Café,4,38.00572029999999,-78.4518507,"1050 Monticello Loop, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",380
Canelo's Burritos,N/A,38.0216998,-78.4701927,"308B Carlton Road, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",N/A
Broadcloth,4.8,38.0198172,-78.45564739999999,"1837 Broadway Street, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",93
Mockingbird,4.6,38.0245712,-78.47495049999999,"421 Monticello Road, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",132
Spencer party,N/A,38.0244641,-78.4755275,"824 Hinton Avenue, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",N/A
CONMOLE,4.7,38.024679,-78.4757654,"816 Hinton Avenue, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",159
Belle,4.6,38.0248883,-78.4752932,"407 Monticello Road, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",228
Michie Tavern ca. 1784,4.6,38.0087286,-78.46370309999999,"683 Thomas Jefferson Parkway, Charlottesville",2,"restaurant, tourist_attraction, liquor_store, bar, food, point_of_interest, store, establishment",3245
Beer Run,4.5,38.02458719999999,-78.4685083,"156 Carlton Road Ste 203, Charlottesville",2,"restaurant, liquor_store, bar, food, point_of_interest, store, establishment",1199
Belmont Pizza & Pub,4.3,38.0240274,-78.4690459,"10, 5975, 221 Carlton Road, Charlottesville",1,"meal_delivery, bar, meal_takeaway, restaurant, food, point_of_interest, establishment",371
La Guadalupana Latino Market,4.2,38.0230518,-78.47049030000001,"221 Carlton Road #15, Charlottesville",N/A,"grocery_or_supermarket, restaurant, food, point_of_interest, store, establishment",126
The Red Lantern,3.9,38.02318449999999,-78.4703777,"221 Carlton Road #16, Charlottesville",1,"restaurant, food, point_of_interest, establishment",368
Mas,4.4,38.0242534,-78.4742108,"904 Monticello Road, Charlottesville",3,"restaurant, food, point_of_interest, establishment",603
Pad Thai,4.4,38.0246433,-78.4684802,"156 Carlton Road #202, Charlottesville",2,"restaurant, food, point_of_interest, establishment",127
Moose's By The Creek,4.7,38.0138711,-78.4736381,"1710 Monticello Road, Charlottesville",1,"restaurant, food, point_of_interest, establishment",1081
Cactus Mexican Restaurant,4.2,38.0229822,-78.47019399999999,"221 Carlton Road, Charlottesville",2,"restaurant, food, point_of_interest, establishment",298
FIREFLY Restaurant + Game Room,4.4,38.0259711,-78.4672162,"1304 East Market Street, Charlottesville",2,"bar, restaurant, food, point_of_interest, establishment",842
Monticello Café,4,38.00572029999999,-78.4518507,"1050 Monticello Loop, Charlottesville",N/A,"restaurant, food, point_of_interest, establishment",380
Broadcloth,4.8,38.0198172,-78.45564739999999,"1837 Broadway Street, Charlottesville",N/A,"restaurant, food, point_of_interest, establishment",93
Canelo's Burritos,N/A,38.0216998,-78.4701927,"308B Carlton Road, Charlottesville",N/A,"restaurant, food, point_of_interest, establishment",N/A
Holly's Diner,4.6,38.02667739999999,-78.46761649999999,"1221 East Market Street, Charlottesville",1,"restaurant, food, point_of_interest, establishment",370
Orzo Kitchen & Wine Bar,4.5,38.0305847,-78.48712239999999,"416 West Main Street, Charlottesville",3,"bar, restaurant, point_of_interest, food, establishment",594
Panera Bread,3.7,38.0114091,-78.49838679999999,"405 Merchant Walk Square Bldg 1800, Charlottesville",2,"cafe, bakery, meal_takeaway, store, restaurant, point_of_interest, food, establishment",453
Alamo Drafthouse Cinema Charlottesville,4.5,38.0119188,-78.4994946,"375 Merchant Walk Square, Charlottesville",N/A,"movie_theater, bar, restaurant, point_of_interest, food, establishment",2317
